ServerName,DatabaseName,DatabaseFileName,FileType,TimeDataCollected,CounterName,AggregatorType,Value
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FWM,Occurence,18
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FWM,Variance,10480
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FWM,Max,312
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FNW,Mean,584.8889
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FNW,Occurence,18
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FNW,Variance,1214328.1
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FNW,Max,3904
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FNR,Mean,6741.3335
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FNR,Occurence,18
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FNR,Variance,40814360
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FNR,Max,20480
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FRL,Mean,2.0649111
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FRL,Occurence,18
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FRL,Variance,2.1995733
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FRL,Max,4.571429
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FWL,Mean,0.79951096
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FWL,Occurence,18
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FWL,Variance,2.4677875
DBPSQLANA01,RnD,G:\MSSQL\data\Rnd_Data2.ndf,ROWS,2022-10-25 09:13:46,FWL,Max,4.491228
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FRM,Mean,0.5555556
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FRM,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FRM,Variance,0.91358024
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FRM,Max,3
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FWM,Mean,0.5555556
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FWM,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FWM,Variance,1.2469136
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FWM,Max,3
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FNW,Mean,1.5555556
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FNW,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FNW,Variance,9.913581
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FNW,Max,10
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FNR,Mean,6.888889
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FNR,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FNR,Variance,129.4321
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FNR,Max,36
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FRL,Mean,0.8959435
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FRL,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FRL,Variance,2.8383927
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FRL,Max,4.571429
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FWL,Mean,0.6539683
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FWL,Occurence,18
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FWL,Variance,2.191101
DBPSQLANA01,RnD,E:\MSSQL\Data\Rnd_Log3.ndf,ROWS,2022-10-25 09:13:46,FWL,Max,4.571429
DBPSQLANA01,RnD,,,2022-10-25 09:23:15,DCS,Mean,78637.18
DBPSQLANA01,RnD,,,2022-10-25 09:23:15,DCS,Occurence,19
DBPSQLANA01,RnD,,,2022-10-25 09:23:15,DCS,Variance,461930.75
DBPSQLANA01,RnD,,,2022-10-25 09:23:15,DCS,Max,81363.88
DBPSQLANA01,RnD,,,2022-10-25 09:23:15,DCP,Mean,99.981346
DBPSQLANA01,RnD,,,2022-10-25 09:23:15,DCP,Occurence,18
DBPSQLANA01,RnD,,,2022-10-25 09:23:15,DCP,Variance,0.0057961284
DBPSQLANA01,RnD,,,2022-10-25 09:23:15,DCP,Max,100.0013
DBPSQLANA01,DBAdmin,,,2022-10-25 09:23:15,DCS,Mean,0.36
DBPSQLANA01,DBAdmin,,,2022-10-25 09:23:15,DCS,Occurence,19
DBPSQLANA01,DBAdmin,,,2022-10-25 09:23:15,DCS,Variance,0
DBPSQLANA01,DBAdmin,,,2022-10-25 09:23:15,DCS,Max,0.36
DBPSQLANA01,DBAdmin,,,2022-10-25 09:23:15,DCP,Mean,0.01859311
DBPSQLANA01,DBAdmin,,,2022-10-25 09:23:15,DCP,Occurence,18
DBPSQLANA01,DBAdmin,,,2022-10-25 09:23:15,DCP,Variance,0.0057979207
DBPSQLANA01,DBAdmin,,,2022-10-25 09:23:15,DCP,Max,0.3325367
DBPSQLANA01,,,,2022-10-25 09:23:15,IM,Mean,128512.31
DBPSQLANA01,,,,2022-10-25 09:23:15,IM,Occurence,19
DBPSQLANA01,,,,2022-10-25 09:23:15,IM,Variance,5094.111
DBPSQLANA01,,,,2022-10-25 09:23:15,IM,Max,128561
DBPSQLANA01,,,,2022-10-25 09:23:15,IMP,Mean,100
DBPSQLANA01,,,,2022-10-25 09:23:15,IMP,Occurence,19
DBPSQLANA01,,,,2022-10-25 09:23:15,IMP,Variance,0
DBPSQLANA01,,,,2022-10-25 09:23:15,IMP,Max,100
DBPSQLANA01,,,,2022-10-25 09:23:15,ICP,Mean,48.105263
DBPSQLANA01,,,,2022-10-25 09:23:15,ICP,Occurence,19
DBPSQLANA01,,,,2022-10-25 09:23:15,ICP,Variance,11.462604
DBPSQLANA01,,,,2022-10-25 09:23:15,ICP,Max,55
DBPSQLANA01,DBAdmin,E:\MSSQL\Data\DBAdmin.mdf,ROWS,2022-10-25 09:23:15,FRM,Mean,0
DBPSQLANA01,DBAdmin,E:\MSSQL\Data\DBAdmin.mdf,ROWS,2022-10-25 09:23:15,FRM,Occurence,18
DBPSQLANA01,DBAdmin,E:\MSSQL\Data\DBAdmin.mdf,ROWS,2022-10-25 09:23:15,FRM,Variance,0
